   lexemeCurrentNode         lineno          token  valuelfNumber     isLeafNode               NodeSymbol
                ----           ----           ----           ----             NO         <assignmentStmt>
                ----           ----           ----           ----             NO          <singleOrRecId>
                  b5             45          TK_ID           ----            YES                     ----
                ----           ----           ----           ----             NO   <arithmeticExpression>
                ----           ----           ----           ----             NO                   <term>
                ----           ----           ----           ----             NO          <singleOrRecId>
                  b5             45          TK_ID           ----            YES                     ----
                ----           ----           ----           ----             NO               <expPrime>
                   +             45        TK_PLUS           ----            YES                     ----
                ----           ----           ----           ----             NO                   <term>
                ----             45         TK_NUM              1            YES                     ----
                ----           ----           ----           ----             NO             <otherStmts>
                ----           ----           ----           ----             NO         <assignmentStmt>
                ----           ----           ----           ----             NO          <singleOrRecId>
                  d4             47          TK_ID           ----            YES                     ----
                ----           ----           ----           ----             NO   <arithmeticExpression>
                ----           ----           ----           ----             NO                   <term>
                ----           ----           ----           ----             NO          <singleOrRecId>
                b5c6             47          TK_ID           ----            YES                     ----
                ----           ----           ----           ----             NO              <termPrime>
                   /             47         TK_DIV           ----            YES                     ----
                ----           ----           ----           ----             NO          <singleOrRecId>
           d5cb34567             47          TK_ID           ----            YES                     ----
                ----           ----           ----           ----             NO             <otherStmts>
                ----           ----           ----           ----             NO          <singleOrRecId>
                  d4             48          TK_ID           ----            YES                     ----
               maths             48     TK_FIELDID           ----            YES                     ----
                ----           ----           ----           ----             NO             <otherStmts>
                ----           ----           ----           ----             NO          <singleOrRecId>
                  d4             49          TK_ID           ----            YES                     ----
             physics             49     TK_FIELDID           ----            YES                     ----
                ----           ----           ----           ----             NO             <otherStmts>
                ----           ----           ----           ----             NO          <singleOrRecId>
                  d4             50          TK_ID           ----            YES                     ----
           chemistry             50     TK_FIELDID           ----            YES                     ----
                ----           ----           ----           ----             NO             <returnStmt>
              return             51      TK_RETURN           ----            YES                     ----
